SR. No.,RollNo,Gender,Caste Category,PH,Ex-Serviceman,Sports,Widow,Obtain Marks
1,212000005,F,General(EWS),YES,,,,94.6116
2,212000006,M,SEBC,YES,,,,83.5864
3,212000010,F,General,YES,,,,135.892
4,212000012,M,SEBC,YES,,,,93.8424
5,212000013,M,SEBC,YES,,,,111.534
6,212000019,F,SEBC,YES,,,,132.5588
7,212000026,M,SEBC,YES,,,,121.5336
8,212000027,M,General(EWS),YES,,,,128.4564
9,212000030,M,General(EWS),YES,,,,107.1752
10,212000031,M,SEBC,YES,,,,98.9704
11,212000035,M,SEBC,YES,,,,141.02
12,212000037,F,SEBC,YES,,,,87.9452
13,212000041,F,General(EWS),YES,,,,83.0736
14,212000048,M,SEBC,YES,,,,114.8672
15,212000049,M,General(EWS),YES,,,,80.766
16,212000050,M,SEBC,YES,,YES,,86.1504
17,212000051,M,SEBC,YES,,,,115.38
18,212000053,M,General(EWS),YES,,,,98.9704
19,212000057,M,General,YES,,,,107.9444
20,212000061,M,SEBC,YES,,,,93.586
21,212000066,F,SEBC,YES,,,,83.0736
22,212000074,M,SEBC,YES,,,,96.6628
23,212000078,F,SC,YES,,,,107.9444
24,212000079,F,SEBC,YES,,,,130.2512
25,212000083,F,General(EWS),YES,,,,104.0984
26,212000085,M,SC,YES,,,,104.3548
27,212000086,M,SEBC,YES,,,,107.9444
28,212000087,M,General,YES,,,,83.5864
29,212000094,M,SEBC,YES,,,,99.996
30,212000095,F,SEBC,YES,,,,118.2004
31,212000096,M,SEBC,YES,,,,99.7396
32,212000102,F,SEBC,YES,,,,85.894
33,212000113,M,SEBC,YES,,,,101.5344
34,212000114,M,General,YES,,,,113.8416
35,212000119,M,General(EWS),YES,,,,124.0976
36,212000120,M,SEBC,YES,,,,93.0732
37,212000122,F,SEBC,YES,,,,92.0476
38,212000125,M,General(EWS),YES,,,,84.3556
39,212000130,M,SC,YES,,,,103.0728
40,212000131,M,General(EWS),YES,,,,110.5084
41,212000132,M,General,YES,,,,89.4836
42,212000134,M,SC,YES,,,,93.8424
43,212000141,M,SC,YES,,,,82.3044
44,212000142,M,SEBC,YES,,,,99.7396
45,212000143,M,SEBC,YES,,,,108.7136
46,212000147,M,SEBC,YES,,,,103.3292
47,212000151,M,General(EWS),YES,,,,104.0984
48,212000156,F,SEBC,YES,,,,119.226
49,212000157,M,General,YES,,,,108.2008
50,212000161,M,SEBC,YES,,,,92.304
51,212000165,F,SEBC,YES,,,,114.3544
52,212000169,M,General,YES,,,,89.9964
53,212000171,F,ST,YES,,,,89.74
54,212000175,M,SEBC,YES,,,,93.8424
55,212000176,M,SC,YES,,,,91.7912
56,212000178,M,General(EWS),YES,,,,113.5852
57,212000180,M,SEBC,YES,,,,80.2532
58,212000189,M,SEBC,YES,,,,96.6628
59,212000190,M,General(EWS),YES,,,,113.0724
60,212000191,M,SEBC,YES,,,,83.8428
61,212000193,M,General,YES,,,,80.2532
62,212000196,M,ST,YES,,,,84.3556
63,212000198,M,SEBC,YES,,,,128.9692
64,212000200,M,General(EWS),YES,,,,103.0728
65,212000201,M,General(EWS),YES,,,,95.6372
66,212000203,M,General(EWS),YES,,,,109.9956
67,212000217,M,SEBC,YES,,,,87.6888
68,212000218,F,SEBC,YES,,,,121.5336
69,212000226,M,SEBC,YES,,,,139.9944
70,212000231,M,SEBC,YES,,,,80.766
71,212000238,M,General(EWS),YES,,,,115.1236
72,212000239,M,SC,YES,,,,116.9184
73,212000243,F,SEBC,YES,,,,126.4052
74,212000244,M,ST,YES,,,,110.252
75,212000252,M,General,YES,,,,82.048
76,212000257,M,SEBC,YES,,,,89.2272
77,212000258,M,SEBC,YES,,,,87.4324
78,212000260,F,SEBC,YES,,,,82.3044
79,212000265,M,General,YES,,,,107.688
80,212000267,F,SEBC,YES,,,,102.8164
81,212000268,M,General,YES,,,,98.714
82,212000281,M,General,YES,,,,90.2528
83,212000286,M,General,YES,,,,91.7912
84,212000287,F,SEBC,YES,,,,104.0984
85,212000288,F,SC,YES,,,,84.0992
86,212000294,M,ST,YES,,,,102.3036
87,212000297,F,SEBC,YES,,,,95.6372
88,212000298,M,SEBC,YES,,,,109.4828
89,212000300,M,SC,YES,Yes,,,84.612
90,212000306,M,SEBC,YES,,,,109.7392
91,212000312,F,General,YES,,,,100.2524
92,212000319,M,SEBC,YES,,,,101.278
93,212000321,M,SEBC,YES,,,,99.4832
94,212000327,M,SEBC,YES,,,,99.996
95,212000333,F,General,YES,,,,108.97
96,212000338,M,SEBC,YES,,,,95.6372
97,212000341,M,General,YES,,,,105.124
98,212000344,F,ST,YES,,,,91.7912
99,212000347,M,SEBC,YES,,,,124.0976
100,212000348,M,General(EWS),YES,,,,83.33
101,212000353,M,SEBC,YES,,,,87.4324
102,212000356,F,SEBC,YES,,,,80.5096
103,212000360,M,General(EWS),YES,,,,95.1244
104,212000366,M,General(EWS),YES,,,,106.1496
105,212000373,M,General,YES,,,,81.0224
106,212000374,M,SEBC,YES,,,,90.7656
107,212000378,M,General,YES,,,,83.33
108,212000380,M,ST,YES,,,,88.458
109,212000381,F,SEBC,YES,,,,101.278
110,212000382,M,SEBC,YES,,,,131.0204
111,212000384,M,SEBC,YES,,,,108.7136
112,212000387,F,SEBC,YES,,,,108.97
113,212000388,M,General,YES,,,,110.7648
114,212000392,M,SEBC,YES,,,,90.7656
115,212000393,M,SEBC,YES,,,,95.8936
116,212000397,M,ST,YES,,,,80.5096
117,212000398,M,SC,YES,,,,87.176
118,212000403,M,ST,YES,,,,90.2528
119,212000406,M,General(EWS),YES,,,,88.458
120,212000408,M,SEBC,YES,,,,82.3044
121,212000412,M,SEBC,YES,,,,81.0224
122,212000414,M,SEBC,YES,,,,109.9956
123,212000416,F,SEBC,YES,,,,90.5092
124,212000418,M,General,YES,,,,105.8932
125,212000427,M,General(EWS),YES,,,,83.8428
126,212000429,F,SEBC,YES,,,,88.458
127,212000431,M,SEBC,YES,,,,83.0736
128,212000437,M,SEBC,YES,,,,113.3288
129,212000438,M,General(EWS),YES,,,,94.0988
130,212000439,M,General,YES,,,,85.894
131,212000442,F,General(EWS),YES,,,,89.74
132,212000448,M,SC,YES,,,,104.6112
133,212000450,M,General,YES,,,,92.304
134,212000456,M,SEBC,YES,,,,109.7392
135,212000457,M,ST,YES,,YES,,94.6116
136,212000460,M,SC,YES,,,,93.586
137,212000463,M,General,YES,,,,81.2788
138,212000466,M,SEBC,YES,,,,127.4308
139,212000467,M,SEBC,YES,,,,102.3036
140,212000469,M,SEBC,YES,,,,114.8672
141,212000473,M,General,YES,,,,88.458
142,212000476,M,SEBC,YES,,,,100.2524
143,212000483,M,SEBC,YES,,,,90.5092
144,212000485,M,General,YES,,,,84.612
145,212000488,M,General,YES,,,,89.9964
146,212000489,M,SEBC,YES,,,,97.6884
147,212000490,M,SEBC,YES,,,,102.56
148,212000491,M,SEBC,YES,,,,97.9448
149,212000494,M,SEBC,YES,,,,117.4312
150,212000497,F,General(EWS),YES,,,,113.3288
151,212000498,M,General(EWS),YES,,,,87.9452
152,212000500,M,General,YES,,,,83.33
153,212000502,F,SC,YES,,,,84.3556
154,212000503,F,General,YES,,,,93.586
155,212000504,M,SEBC,YES,,,,80.5096
156,212000506,M,SEBC,YES,,,,88.7144
157,212000507,M,SEBC,YES,,,,95.6372
158,212000508,M,SEBC,YES,,,,123.072
159,212000509,M,SEBC,YES,,,,103.5856
160,212000513,F,SEBC,YES,,,,103.5856
161,212000514,F,General(EWS),YES,,,,87.4324
162,212000517,M,SC,YES,,,,85.6376
163,212000518,F,General(EWS),YES,,,,80.2532
164,212000519,M,General(EWS),YES,,,,109.7392
165,212000523,M,SEBC,YES,,,,116.4056
166,212000526,M,General,YES,,,,90.2528
167,212000529,M,General(EWS),YES,,,,125.3796
168,212000531,M,SEBC,YES,,,,100.2524
169,212000534,M,General(EWS),YES,,,,101.0216
170,212000536,M,SEBC,YES,,,,88.7144
171,212000537,M,General(EWS),YES,,,,120.7644
172,212000539,M,SEBC,YES,,,,86.1504
173,212000541,M,SEBC,YES,,,,111.534
174,212000544,M,General,YES,,,,93.8424
175,212000551,M,SEBC,YES,,,,96.4064
176,212000552,F,General(EWS),YES,,,,87.176
177,212000553,M,SEBC,YES,,,,88.7144
178,212000558,M,General,YES,,,,95.3808
179,212000559,M,SC,YES,,,,118.2004
180,212000561,M,SEBC,YES,,,,81.0224
181,212000564,M,General(EWS),YES,,,,140.5072
182,212000567,M,SEBC,YES,,,,113.3288
183,212000571,M,General(EWS),YES,,,,136.6612
184,212000572,F,General,YES,,,,89.4836
185,212000573,M,General(EWS),YES,,,,129.2256
186,212000580,M,SC,YES,,,,125.1232
187,212000586,M,SEBC,YES,,,,103.842
188,212000587,F,ST,YES,,,,81.2788
189,212000590,M,SEBC,YES,,,,112.816
190,212000591,M,General,YES,,,,80.766
191,212000596,M,General,YES,,,,87.4324
192,212000597,M,General,YES,,,,84.8684
193,212000598,F,General(EWS),YES,,,,89.74
194,212000600,F,SC,YES,,,,99.996
195,212000605,F,General(EWS),,,,,95.1244
196,212000606,M,General(EWS),,,,,129.7384
197,212000607,F,General,,,,,102.8164
198,212000608,M,SEBC,,,,,99.7396
199,212000609,F,General(EWS),,,,,123.5848
200,212000610,M,ST,,,,,118.7132
201,212000613,M,SEBC,,,,,108.2008
202,212000615,M,General,,,,,163.3268
203,212000618,M,General(EWS),,,,,116.4056
204,212000619,M,General(EWS),,,,,122.0464
205,212000620,M,SEBC,,,,,94.3552
206,212000622,M,SC,,,,,105.3804
207,212000623,M,SEBC,,,,,110.252
208,212000624,M,General(EWS),,,,,112.0468
209,212000625,M,ST,,,,,96.9192
210,212000626,M,General(EWS),,,,,144.3532
211,212000628,M,SEBC,,,,,127.1744
212,212000631,F,ST,,,,,88.7144
213,212000632,F,SC,,,,,113.8416
214,212000634,M,General(EWS),,,,,103.842
215,212000637,M,SEBC,,,,,152.0452
216,212000638,M,General(EWS),,,,,142.0456
217,212000639,M,SEBC,,,,,122.0464
218,212000641,M,SEBC,,,,,110.5084
219,212000642,M,ST,,,,,99.7396
220,212000645,M,General(EWS),,,,,113.5852
221,212000647,F,SEBC,,,,,120.2516
222,212000648,M,ST,,,,,91.7912
223,212000649,M,SEBC,,,,,143.584
224,212000650,M,SEBC,,,,,135.1228
225,212000651,F,General,,,,,91.5348
226,212000652,F,General(EWS),,,,,121.5336
227,212000653,F,SC,,,,,136.1484
228,212000654,F,General(EWS),,,,,157.9424
229,212000656,M,ST,,,,,102.8164
230,212000657,F,SC,,,,,81.0224
231,212000661,M,SC,,,,,116.4056
232,212000662,M,SC,,,,,123.5848
233,212000663,F,SEBC,,,,,114.3544
234,212000664,F,General(EWS),,,,,87.176
235,212000666,M,SC,,,,,104.8676
236,212000667,F,SEBC,,,,,118.2004
237,212000668,F,ST,,,,,97.432
238,212000669,M,SEBC,,,,,128.9692
239,212000670,F,SEBC,,,,,132.3024
240,212000671,M,SEBC,,,,,123.8412
241,212000672,M,General,,Yes,,,86.1504
242,212000673,F,SC,,,,,136.4048
243,212000674,M,SEBC,,,,,109.9956
244,212000675,M,SC,,,,,114.6108
245,212000676,M,SC,,,,,117.6876
246,212000679,F,SEBC,,,,,105.124
247,212000681,M,ST,,,,,101.7908
248,212000686,M,SEBC,,,YES,,119.226
249,212000687,F,SEBC,,,,,128.2
250,212000688,M,General(EWS),,,,,151.276
251,212000689,M,SEBC,,,,,113.0724
252,212000690,F,SC,,,,,98.9704
253,212000692,M,SEBC,,,,,120.508
254,212000693,M,ST,,,,,128.7128
255,212000694,M,General(EWS),,,,,148.712
256,212000695,M,General(EWS),,,,,81.5352
257,212000696,M,SC,,,,,124.0976
258,212000697,F,General(EWS),,,,,134.0972
259,212000698,M,General(EWS),,,,,87.176
260,212000699,M,General(EWS),,,,,133.0716
261,212000704,M,ST,,,,,102.0472
262,212000705,M,General(EWS),,,,,145.3788
263,212000706,F,ST,,,,,84.0992
264,212000709,M,General(EWS),,,,,122.8156
